Date,Adj Close,Close,High,Low,Open,Volume,gap_days
2024-02-29,62070.16015625,72000.0,73300.0,71600.0,72600.0,6568800,1.0
2024-03-01,61639.1171875,71500.0,72100.0,71200.0,72100.0,4487700,1.0
2024-03-04,62070.16015625,72000.0,72700.0,71600.0,71800.0,5014600,3.0
2024-03-05,62932.23828125,73000.0,73000.0,71700.0,72000.0,5530900,1.0
2024-03-06,61897.74609375,71800.0,73500.0,71800.0,73300.0,4833900,1.0
2024-03-07,62070.16015625,72000.0,72100.0,71300.0,71700.0,5217600,1.0
2024-03-08,60345.98828125,70000.0,72900.0,70000.0,72100.0,7361000,1.0
2024-03-11,61393.9609375,70300.0,71300.0,70000.0,70500.0,4268400,3.0
2024-03-12,61131.97265625,70000.0,70600.0,70000.0,70400.0,3844000,1.0
2024-03-13,61830.62109375,70800.0,70900.0,70000.0,70100.0,5706500,1.0
2024-03-14,61568.62109375,70500.0,71300.0,70300.0,71000.0,5476400,1.0
2024-03-15,60860.94140625,68800.0,70100.0,68700.0,70100.0,4851100,1.0
2024-03-18,60064.796875,67900.0,69100.0,67600.0,68800.0,6796300,3.0
2024-03-19,59976.33203125,67800.0,68500.0,67800.0,68500.0,3222100,1.0
2024-03-20,60153.25,68000.0,68600.0,67500.0,67800.0,3657800,1.0
2024-03-21,60507.1015625,68400.0,68500.0,67900.0,68200.0,5061700,1.0
2024-03-22,59976.33203125,67800.0,68700.0,67800.0,68600.0,6162600,1.0
2024-03-25,59534.03125,67300.0,68200.0,67100.0,67900.0,5588600,3.0
2024-03-26,59887.87109375,67700.0,67900.0,67300.0,67400.0,2524500,1.0
2024-03-27,59887.87109375,67700.0,68000.0,67500.0,68000.0,2815600,1.0
2024-03-28,59887.87109375,67700.0,68400.0,67600.0,67700.0,4492200,1.0
2024-03-29,59799.4140625,67600.0,68400.0,67500.0,68400.0,3694900,1.0
2024-04-01,59268.6484375,67000.0,67700.0,67000.0,67600.0,5013000,3.0
2024-04-02,59534.03125,67300.0,67400.0,66700.0,67000.0,4322900,1.0
2024-04-03,59003.265625,66700.0,67300.0,66700.0,67300.0,5046100,1.0
2024-04-04,60330.18359375,68200.0,68400.0,66700.0,66700.0,8598100,1.0
2024-04-05,60064.796875,67900.0,68200.0,67700.0,68200.0,4233800,1.0
2024-04-08,59268.6484375,67000.0,68000.0,66900.0,68000.0,3716000,3.0
2024-04-09,59268.6484375,67000.0,67300.0,66800.0,67100.0,2516000,1.0
